index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
3513600,48000,4800,1046.2915,6.2816586,6740.9375,0.06787107,3245.0083,4.3287263,22.05085,5d5d74568
3518400,48000,4800,1686.4592,4.9852753,11810.938,0.11487995,4060.0767,3.2106123,13.058852,d1b0dfa02
3523200,48000,4800,1243.6204,29.253952,7183.4375,0.078774095,3239.3052,4.439094,24.566057,518b1b5e2
3528000,48000,4800,891.4026,49.800247,4642.1875,0.05288032,2741.3665,5.0942173,30.588974,781655289
3532800,48000,4800,1499.21,60.384304,7388.75,0.07935447,3058.2734,3.7470865,19.49902,25ae29a73
3537600,48000,4800,635.6729,752.49884,2628.75,0.023274457,1414.0125,11.138658,197.28033,e9477b36c
3542400,48000,4800,277.686,114.43704,881.25,0.0075052795,995.2929,13.680722,247.48698,46adc6bba
3547200,48000,4800,744.07477,780.9736,4400.0,0.03417924,2060.078,5.1830063,36.410564,3520ba274
3552000,48000,4800,689.32465,911.88794,2934.375,0.02877114,1828.3208,6.938117,64.779594,d61228dad
3556800,48000,4800,1076.7827,90.18128,5613.125,0.061212145,2757.591,4.666871,26.97009,f10b383ce
3561600,48000,4800,1312.5168,2.1194117,7253.125,0.08001889,3237.0369,4.111174,20.467691,9aa9342d7
3566400,48000,4800,1426.6929,1.4217191,7578.125,0.08738153,3354.8804,3.9304342,18.921345,b65dbf72c
3571200,48000,4800,1585.4921,1.0776113,9928.75,0.10041506,3788.0518,3.4543521,14.699417,b109319b6
3576000,48000,4800,1600.7609,61.16692,7823.75,0.086279415,3129.0312,3.5864897,17.658812,3cc4c7e92
3580800,48000,4800,1392.8892,20.959566,6267.1875,0.07264732,2903.7576,4.3059387,23.615318,69d03b567
3585600,48000,4800,1480.3586,19.390585,7455.3125,0.085089974,3285.8557,4.018755,19.922537,3a0adc2f0
3590400,48000,4800,1290.1317,857.2851,6470.3125,0.06990059,2814.2537,4.7415514,34.622234,cb8674f3e
3595200,48000,4800,437.8513,157.38882,1399.0625,0.018262733,1534.5984,9.168271,104.24142,8d64b2013
3600000,48000,4800,564.36597,31.48795,1730.9375,0.027232373,1943.5021,7.4439616,64.694336,402c5f676
3604800,48000,4800,918.5289,33.51008,4884.6875,0.055073664,2755.0156,5.165501,32.189217,a0b8e7a5f
3609600,48000,4800,973.25574,147.43115,4949.6875,0.055161033,2525.6013,5.310632,36.798016,58434a91e
3614400,48000,4800,1212.1304,46.750362,5909.6875,0.06969208,2789.9304,4.433021,25.991838,d55efa624
3619200,48000,4800,1393.5497,14.458582,6852.8125,0.079749286,3150.9817,4.1688657,21.740461,6924e6ae6
3624000,48000,4800,2327.6462,382.21408,13529.063,0.14720471,4252.2314,2.5868359,9.852441,faf6c8fb0
3628800,48000,4800,506.1099,1056.3711,2051.5625,0.017211877,1517.9548,8.609504,95.22733,e1c5d6ad9
3633600,48000,4800,449.19037,105.67147,1240.9375,0.017701618,1640.9648,8.96709,93.06379,caf739b3f
3638400,48000,4800,472.90796,24.786604,1228.125,0.02123685,1793.4142,8.26443,78.20469,27dece5c5
3643200,48000,4800,498.96103,11.727486,1208.125,0.024672037,1883.4127,7.758797,69.20048,863062d08
3648000,48000,4800,501.6723,6.9146533,952.5,0.02527517,1976.1796,7.5330434,64.73582,efb4e4207
3652800,48000,4800,612.37427,5.2413564,2355.625,0.03287488,2148.3062,6.511925,50.25189,cd3ed3697
3657600,48000,4800,814.50366,72.29717,4451.5625,0.047924705,2462.364,5.6033864,39.50333,63f99988d
